battery_id,filename,capacity,ambient_temperature,voltage_mean,voltage_min,voltage_std,current_mean,current_std,current_min,temp_mean,temp_max,temp_std,duration,voltage_load_mean,voltage_load_min
B0047,00001.csv,1.6743047446975208,4,3.4752664759657903,2.470611866932728,0.284625579673532,-0.9527668403077523,0.20144763569935933,-1.00110134824347,8.272422519178683,12.376815880696888,1.4552687842061112,6436.141,2.817938775510204,0.0
B0047,00005.csv,1.5243662105099023,4,3.4765588189090355,2.477661652422805,0.2724949175636877,-0.9838885014038209,0.10670769250195597,-0.9981417400029184,8.210715424489035,11.314903320182369,1.2401611202727847,5650.265,2.881351981351981,0.0
B0047,00007.csv,1.5080762969973425,4,3.4707669643372343,2.4707098734854784,0.2785348039336943,-0.9838892612061609,0.10731479696293068,-1.0003069695936524,7.954455063989402,11.624528187721143,1.4168823008236948,5590.907,2.884254716981132,0.0
B0047,00009.csv,1.4835577960067696,4,3.4675514337042928,2.465457800547402,0.2784157777923231,-0.9789465319710104,0.12749941051411634,-0.9982799264042614,7.985864710265717,11.0929238810592,1.3781590080157615,5543.61,2.843420047732697,0.0
B0047,00011.csv,1.4671391666146525,4,3.4628386272032645,2.465765118194009,0.2825845173210186,-0.9762620303137102,0.1367702701794522,-0.9986834889880236,8.009426990342208,11.020979145558456,1.3233549763281618,5499.046,2.829371084337349,0.0
B0047,00013.csv,1.448858156982267,4,3.4591836330966035,2.4700482803033514,0.28092074353927915,-0.9711681299821951,0.15320166429797555,-1.0016128378277855,8.033626730077737,11.05909419348262,1.3608226790469107,5461.219,2.8199440389294406,0.0
B0047,00017.csv,1.4458534180949325,4,3.440865649757287,2.484128874181115,0.27717370194432234,-0.9709334670284248,0.15361255478969701,-0.9983585499996894,8.150799939416203,11.877028657628198,1.5137561916215256,5451.281,2.7938288508557454,0.0
B0047,00021.csv,1.431118266178283,4,3.44810227661685,2.483034750266961,0.2832497217227614,-0.9610547420763002,0.18072914493363484,-1.001368895703553,8.230899786348077,11.559250858608888,1.3225923052838269,5468.062,2.7475867970660146,0.0
B0047,00023.csv,1.4192745516578533,4,3.4496654644975946,2.49830336362436,0.28011801526010743,-0.9582923588349711,0.18795126667322634,-1.0008569581108415,8.146945225413083,11.34743713793976,1.3779817914808121,5411.297,2.731106435643565,0.0
B0047,00025.csv,1.3999974221808271,4,3.4449123724079618,2.49851157426792,0.28543947471347547,-0.9553719838321842,0.19493355285943673,-0.9983176454232487,8.251894856354932,11.693269060729056,1.3512151972437434,5369.703,2.7561924999999996,0.0
B0047,00027.csv,1.3885156686114437,4,3.4418308643708455,2.4919375577484737,0.28257507687267536,-0.9527836491780217,0.201619340838536,-0.9987614170997864,8.23497518866995,11.557441727679937,1.409842768748915,5327.406,2.768262626262626,0.0
B0047,00029.csv,1.3652234669528964,4,3.4344681780842876,2.4683068422721184,0.29109652836021227,-0.949814677088373,0.20780089499321494,-0.9997148821455012,8.269239827690175,11.667407771157473,1.3533154786206425,5299.266,2.705918575063613,0.0
B0047,00033.csv,1.4060442272970963,4,3.430115214310407,2.479195639185483,0.2734618337936645,-0.962374774611937,0.1770451371609594,-0.997480494103194,8.236583239584068,11.311016339650983,1.541398861481021,5367.172,2.767632241813602,0.0
B0047,00037.csv,1.4057541613525781,4,3.442078085056046,2.4933737831605582,0.2793773991192219,-0.9528782892582865,0.20076784571510078,-0.9986334774069276,8.16126508624072,11.175603921563273,1.4150281419914628,5406.812,2.7229448621553884,0.0
B0047,00039.csv,1.3867662881727878,4,3.4424678812268277,2.491571322470993,0.28286927281082114,-0.9497638833815831,0.20761258162955815,-0.9987804112417712,8.25301239256121,11.15023736338702,1.4114070605987759,5353.094,2.7574187817258884,0.0
B0047,00041.csv,1.3705053061420223,4,3.4338551425476287,2.471859124111365,0.2871250097007428,-0.9517106306260905,0.2036619845617688,-0.999389466856038,8.291638340695691,11.81131136026599,1.5058774499312313,5280.031,2.77564175257732,0.0
B0047,00043.csv,1.3497431114823601,4,3.4327517306039357,2.488914813470205,0.2841656758412699,-0.9434304652541514,0.2206481102504601,-0.9976329826755008,8.318107121376224,11.699803023226297,1.4807262325114658,5248.593,2.6830077922077926,0.0
B0047,00045.csv,1.3251533367939783,4,3.4273855541261473,2.472852533936716,0.2882066814620769,-0.9400482502771171,0.22717236753733644,-0.9979036135281564,8.303021352537922,11.234017863419322,1.4081273117302553,5203.375,2.67641052631579,0.0
B0047,00049.csv,1.3111943869635805,4,3.4184685184601045,2.4822189935935484,0.28897140514808994,-0.9371553622323052,0.23346070210403586,-0.9983031482652808,8.32601397527908,11.729632241368254,1.4098572099213054,5166.812,2.7346010638297873,0.0
B0047,00051.csv,0.0,4,3.6507246573834036,3.452630071948054,0.14346587265952487,-0.9839651386620409,0.10590714735908692,-0.9986297932484944,7.192903163731922,8.565277404002732,0.8694437709475095,2384.094,3.0722799999999992,0.0
B0047,00053.csv,1.3394234405932892,4,3.4156755122328164,2.481264290061195,0.29171487353679965,-0.9234823229846594,0.2574089555829166,-0.9989433150461876,8.388106987601862,12.186162994585318,1.5368437994110502,5340.281,2.680860824742268,0.0
B0047,00055.csv,1.2849157142560723,4,3.4189443106786306,2.487540187711501,0.28898893087115335,-0.930472095057463,0.2449272778107199,-0.9988068791837494,8.304841644444155,11.147409475641334,1.3578265380675338,5103.0,2.669127027027027,0.0
B0047,00057.csv,1.281719159327807,4,3.4147835574863517,2.4907582384317,0.2877207992831269,-0.9322821459755778,0.24164614739638005,-0.9985415333431112,8.319029412369582,11.681014963080823,1.4419986520592356,5051.172,2.6820657534246575,0.0
B0047,00061.csv,1.2600051642942829,4,3.409591730169167,2.493163832069928,0.2868273364379839,-0.9267897523084677,0.2517584402337099,-0.9978750591581058,8.401755924951388,11.29683746494969,1.3705855676857854,5027.563,2.640454545454545,0.0
B0047,00063.csv,1.266070385993126,4,3.407645240350967,2.479240941037315,0.29096882856993483,-0.9316504925123936,0.24323000086333818,-0.999192550425453,8.395347720509116,11.88239860330653,1.4656085124507423,4993.765,2.6839555555555554,0.0
B0047,00065.csv,1.2413590294280803,4,3.407201115194828,2.4915265338912347,0.29270441704963296,-0.9255669375549472,0.2535782203880096,-0.9986749467627316,8.419292173692186,11.79170575767619,1.4235282901494186,4962.469,2.625274509803922,0.0
B0047,00067.csv,1.2298873703485311,4,3.402851724115477,2.495727313119633,0.29209013723210653,-0.9273633082574366,0.2505189121390405,-0.9974120790687706,8.293327119939335,11.72661603963688,1.5709837896713803,4907.859,2.6299602272727274,0.0
B0047,00069.csv,1.228088614506696,4,3.398740761774466,2.4979742120513757,0.29352670809454856,-0.9267828902753352,0.25117779098823134,-1.0012611494596309,8.49190236531868,12.464631760563272,1.675817065586805,4888.656,2.667277142857143,0.0
