battery_id,filename,capacity,ambient_temperature,voltage_mean,voltage_min,voltage_std,current_mean,current_std,current_min,temp_mean,temp_max,temp_std,duration,voltage_load_mean
B0047,00001.csv,1.6743047446975208,4,3.4752664759657903,2.470611866932728,0.284625579673532,-0.9527668403077524,0.2014476356993593,-1.00110134824347,8.272422519178683,12.376815880696888,1.4552687842061112,6436.141,2.817938775510204
B0047,00005.csv,1.5243662105099025,4,3.4765588189090355,2.477661652422805,0.2724949175636877,-0.9838885014038208,0.1067076925019559,-0.9981417400029184,8.210715424489035,11.314903320182369,1.2401611202727847,5650.265,2.881351981351981
B0047,00007.csv,1.5080762969973425,4,3.4707669643372343,2.4707098734854784,0.2785348039336943,-0.9838892612061608,0.1073147969629306,-1.0003069695936524,7.954455063989402,11.624528187721143,1.4168823008236948,5590.907,2.884254716981132
B0047,00009.csv,1.4835577960067696,4,3.4675514337042928,2.465457800547402,0.2784157777923231,-0.9789465319710104,0.1274994105141163,-0.9982799264042614,7.985864710265717,11.0929238810592,1.3781590080157615,5543.61,2.843420047732697
B0047,00011.csv,1.4671391666146525,4,3.4628386272032645,2.465765118194009,0.2825845173210186,-0.9762620303137102,0.1367702701794522,-0.9986834889880236,8.009426990342208,11.020979145558456,1.3233549763281618,5499.046,2.829371084337349
B0047,00013.csv,1.448858156982267,4,3.4591836330966035,2.4700482803033514,0.2809207435392791,-0.9711681299821951,0.1532016642979755,-1.0016128378277855,8.033626730077737,11.05909419348262,1.360822679046911,5461.219,2.819944038929441
B0047,00017.csv,1.4458534180949325,4,3.440865649757287,2.484128874181115,0.2771737019443223,-0.9709334670284248,0.153612554789697,-0.9983585499996894,8.150799939416203,11.877028657628198,1.5137561916215256,5451.281,2.7938288508557454
B0047,00021.csv,1.431118266178283,4,3.44810227661685,2.483034750266961,0.2832497217227614,-0.9610547420763002,0.1807291449336348,-1.001368895703553,8.230899786348077,11.559250858608888,1.3225923052838269,5468.062,2.7475867970660146
B0047,00023.csv,1.419274551657853,4,3.4496654644975946,2.49830336362436,0.2801180152601074,-0.9582923588349712,0.1879512666732263,-1.0008569581108415,8.146945225413083,11.34743713793976,1.377981791480812,5411.297,2.731106435643565
B0047,00025.csv,1.3999974221808271,4,3.4449123724079618,2.49851157426792,0.2854394747134754,-0.9553719838321842,0.1949335528594367,-0.9983176454232487,8.251894856354932,11.693269060729056,1.3512151972437434,5369.703,2.7561925
